,total,benign,malware,b-m
movmovandnotdecandxormovmovtes...,5868,0.7252,0,0.7252
ldrstrldrcbz,5861,0.7243,0,0.7243
leatesjnz,24255,1.7574,1.0333,0.7241
calmovtesjnz,40206,2.6532,1.9294,0.7238
movmovandtesjz_,22354,1.6495,0.9274,0.7221
movaddaddbl_,5867,0.7231,0.0016,0.7215
movmovmovmovcalmovlocaddjnz,5836,0.7212,0,0.7212
movmovmovpopret,45180,2.9303,2.2107,0.7196
ldrldrldrmovblrmovblrnopcbz,5822,0.7195,0,0.7195
movmovmovcalmovxadaddjnz,5816,0.7187,0,0.7187
puspuspuspuscalret,18276,1.4181,0.7003,0.7178
movldrcbn,5780,0.7143,0,0.7143
movcalmovmovmovaddpopret,14562,1.2076,0.4933,0.7143
ldpldpldpret,5750,0.7106,0,0.7106
puspusmovmovmovmovcalpoppopret,25857,1.8387,1.1305,0.7082
addlslb__,5726,0.7076,0,0.7076
movshlmovtessetjmp,5721,0.7063,0.0006,0.7057
calpopaddmovpoppopret,52193,3.3161,2.6114,0.7047
ldpldpldpldpret,5695,0.7038,0,0.7038
ldrsubcmpb__,5707,0.7038,0.0012,0.7026
movmovmovcalmovcaltesjz_,8845,0.8772,0.1799,0.6973
movor_inccmpjnz,7574,0.8057,0.1085,0.6972
movmovmovcalmovtesjnz,13100,1.116,0.419,0.697
ldaldscalunbret,5664,0.6983,0.0013,0.697
ldrmovldrcmpb__,5699,0.6996,0.0039,0.6957
adrldrcbz,5621,0.6946,0,0.6946
ldacalldacalret,6310,0.7327,0.0392,0.6935
puspussubmovmovmovmovmovmovcmp...,5624,0.694,0.0008,0.6932
movleamovcmpjz_,12868,1.1008,0.4078,0.693
subleacaladdret,5881,0.708,0.0157,0.6923
movleamovcalmovtesjz_,10742,0.9808,0.2888,0.692
movldpldpldpret,5600,0.692,0,0.692
pussubmovmovcalmovaddpopret,5965,0.7114,0.0214,0.69
ldaldfstlldlstlldlldacalcasstl...,6765,0.7563,0.0664,0.6899
xortessetleamovtesjnz,28045,1.9496,1.2634,0.6862
pussubmovtesjz_,21820,1.5995,0.9141,0.6854
ldrstrcmpb__,5548,0.6852,0.0003,0.6849
nopret,6922,0.7622,0.0776,0.6846
movcalpoppoppopret,29543,2.0316,1.3493,0.6823
movpuspuscaladdtesjz_,16343,1.2899,0.6081,0.6818
ldpldpret,5516,0.6817,0,0.6817
ldrmovtstb__,5512,0.6812,0,0.6812
